model_name,Male terms and Female terms wrt Career and Family,Male terms and Female terms wrt Math and Arts,Male terms and Female terms wrt Science and Arts,Male terms and Female terms wrt Intelligence and Appearence,Male terms and Female terms wrt Intelligence and Sensitive,Male terms and Female terms wrt Positive words and Negative words,Male terms and Female terms wrt Man Roles and Woman Roles,WEAT: Gender average score
glove-twitter-25,0.7649288177490234,-0.13855242729187012,0.04623985290527344,-0.2264695167541504,-0.07837629318237305,-0.04483437538146973,1.08579683303833,0.3407425880432129
glove-twitter-50,0.7474451065063477,-0.6160926818847656,-0.6550189256668091,0.6520180702209473,0.33630990982055664,-0.09942805767059326,1.5228034257888794,0.6613023110798427
glove-twitter-100,0.9740030765533447,-0.3173891305923462,-0.09084200859069824,0.4736313819885254,0.17826759815216064,-0.057135939598083496,1.546586513519287,0.5196936641420636
glove-twitter-200,0.7169334888458252,-0.1190880537033081,0.1008836030960083,0.47954320907592773,0.10364389419555664,-0.046621739864349365,1.1485782861709595,0.387898896421705
