model_name,Christianity terms and Islam terms wrt Pleasant and Unpleasant,Christianity terms and Judaism terms wrt Pleasant and Unpleasant,Islam terms and Judaism terms wrt Pleasant and Unpleasant,Christianity terms and Islam terms wrt Conservative and Terrorism,Christianity terms and Jew terms wrt Conservative and Greed,Islam terms and Jew terms wrt Terrorism and Greed,Christianity terms and Islam terms wrt Positive words and Negative words,Christianity terms and Jew terms wrt Positive words and Negative words,Islam terms and Jew terms wrt Positive words and Negative words,RNSB: Religion average of abs values score
conceptnet-numberbatch 19.08-en dim=300,0.0013707013689340532,0.000791113869119178,0.0009309240030145535,0.00019082403521565383,6.102688854211732e-05,8.225859370559219e-05,0.14215810023151834,0.10145215028791271,0.14241143446878848,0.043272059305194524
fasttext-wiki-news-subwords-300,0.0042408505626959,0.0030438212871983,0.005049441668608,0.000247494233473,0.0002077044357042,0.0004206262030081,0.07849779572929,0.1620395407529179,0.2182117329588738,0.0524398897590855
word2vec-google-news-300,0.0433624910159212,0.0449588894819252,0.0545648833573547,,,0.0162548257235371,0.2127627614804746,0.2207099457437633,0.2566239895475298,0.121319683764358
word2vec-gender-hard-debiased dim=300,0.0032893038145563,0.0024001224495134,0.0035637940255693,,,0.0006057519016682,0.0785478518101758,0.0941180326802205,0.0793852897995589,0.0374157352116089
glove-wiki-gigaword-300,0.2061304966478027,0.2226398650312253,0.1753484715253614,0.0310102371619023,0.0166535751821557,0.0584134826191782,0.3049937693510968,0.5408513243650345,0.3211775540430228,0.2085798639918644
glove-twitter-200,0.107481844348596,0.0952996362272088,0.0690583909747228,0.0178920216935328,0.0204829402029775,0.0468732291843272,0.3616890667475789,0.3194639262847769,0.3597998001581889,0.1553378728691011
lexvec-commoncrawl W+C dim=300,0.1266719902652398,0.1655943915614293,0.0629561060178948,0.0873925870072322,0.0355998478441878,0.1643913461181479,0.1577426364216687,0.1348462038724532,0.0674274944250297,0.1114025115036981
