model_name,Male terms and Female terms wrt Career and Family,Male terms and Female terms wrt Math and Arts,Male terms and Female terms wrt Science and Arts,Male terms and Female terms wrt Intelligence and Appearence,Male terms and Female terms wrt Intelligence and Sensitive,Male terms and Female terms wrt Positive words and Negative words,Male terms and Female terms wrt Man Roles and Woman Roles,WEAT: Gender average of abs values score
conceptnet-numberbatch 19.08-en dim=300,0.38646507263183594,-0.016497239470481873,0.19945436716079712,0.24125902354717255,0.17263498902320862,-0.0035187751054763794,0.41228821873664856,0.20458824932575226
fasttext-wiki-news-subwords-300,0.5255751609802246,0.406657338142395,0.2843190729618072,0.5454201102256775,0.1243184953927993,-0.0833957344293594,1.1882104873657229,0.4511280655860901
word2vec-google-news-300,0.9337773323059082,0.524213433265686,0.6166529059410095,1.0080204010009766,0.3576754927635193,-0.0629943013191223,2.316652536392212,0.8314266204833984
word2vec-gender-hard-debiased dim=300,0.0688433647155761,-0.0642840862274169,-0.0472521185874938,-0.0160375833511352,-0.0208795666694641,-0.025559514760971,0.3612574338912964,0.0863019600510597
glove-wiki-gigaword-300,1.502244234085083,0.4239208698272705,0.6041600704193115,0.6912193298339844,-0.0744529962539672,-0.0652920305728912,2.452303171157837,0.8305132985115051
glove-twitter-200,0.7169334888458252,-0.1190881729125976,0.1008835434913635,0.4795434474945068,0.1036438941955566,-0.0466217994689941,1.14857816696167,0.3878989219665527
lexvec-commoncrawl W+C dim=300,0.9411192,0.23936129,0.38279837,1.1349773,0.2712467,-0.20750739,1.7229035,0.6999877
