model_name,Male terms and Female terms wrt Career and Family,Male terms and Female terms wrt Math and Arts,Male terms and Female terms wrt Science and Arts,Male terms and Female terms wrt Intelligence and Appearence,Male terms and Female terms wrt Intelligence and Sensitive,Male terms and Female terms wrt Positive words and Negative words,Male terms and Female terms wrt Man Roles and Woman Roles,WEAT EZ: Gender average of abs values score
conceptnet-numberbatch 19.08-en dim=300,0.11455664783716202,-0.033144909888505936,0.6010366678237915,0.4991561770439148,0.4696508049964905,-0.018524467945098877,0.8162837624549866,0.3646219074726105
fasttext-wiki-news-subwords-300,0.2821027040481567,0.5401458144187927,0.6411285400390625,0.8438023328781128,0.3260823488235473,-0.4418237805366516,1.7583577632904053,0.6904918551445007
word2vec-google-news-300,0.3487405776977539,0.7112229466438293,1.197807550430298,1.1830682754516602,0.9106648564338684,-0.4000000655651092,1.830517053604126,0.9402888417243958
word2vec-gender-hard-debiased dim=300,0.0262570828199386,-0.0895944759249687,-0.1280679553747177,-0.0288549922406673,-0.0678605586290359,-0.1755489110946655,0.7438405156135559,0.1800035089254379
glove-wiki-gigaword-300,0.5880559682846069,0.3403027355670929,0.837369441986084,0.7730026245117188,-0.0968735143542289,-0.1812576651573181,1.6715095043182373,0.6411958932876587
glove-twitter-200,0.353278785943985,-0.1270750015974044,0.2343530803918838,0.4421011507511139,0.1976049989461898,-0.2005045711994171,1.591370940208435,0.4494697749614715
lexvec-commoncrawl W+C dim=300,0.40796885,0.23873703,0.683395,0.8813022,0.51160866,-1.0312304,1.7187756,0.7818597
