model_name,Christianity terms and Islam terms wrt Pleasant,Christianity terms and Islam terms wrt Unpleasant,Christianity terms and Judaism terms wrt Pleasant,Christianity terms and Judaism terms wrt Unpleasant,Islam terms and Judaism terms wrt Pleasant,Islam terms and Judaism terms wrt Unpleasant,Christianity terms and Islam terms wrt Conservative,Christianity terms and Islam terms wrt Terrorism,Christianity terms and Jew terms wrt Conservative,Christianity terms and Jew terms wrt Greed,Islam terms and Jew terms wrt Terrorism,Islam terms and Jew terms wrt Greed,Christianity terms and Islam terms wrt Positive words,Christianity terms and Islam terms wrt Negative words,Christianity terms and Jew terms wrt Positive words,Christianity terms and Jew terms wrt Negative words,Islam terms and Jew terms wrt Positive words,Islam terms and Jew terms wrt Negative words,RND: Religion average of abs values score
conceptnet-numberbatch 19.08-en dim=300,-0.06576225757598878,-0.051790404319763186,-0.06949208259582519,-0.0565928316116333,-0.003729825019836426,-0.004802427291870117,-0.1009461482365926,-0.03580281138420105,-0.10299758116404216,-0.07479211688041687,-0.029881060123443604,-0.0094681978225708,-0.061714038252830505,-0.05341327138499613,-0.06770427993551613,-0.06456489181326926,-0.005990241682685618,-0.011151620428273125,0.04836644930687527
fasttext-wiki-news-subwords-300,-0.1973574638366699,-0.1591269993782043,-0.1718372273445129,-0.1610584712028503,0.0255202364921569,-0.0019314718246459,-0.2599940101305644,-0.1410582065582275,-0.194070279598236,-0.1498219519853592,-0.0247028172016143,0.0430333316326141,-0.211661931694535,-0.1981179877009454,-0.1803127468061545,-0.1718119548397813,0.0313491848883805,0.026306032861164,0.1305040169987009
word2vec-google-news-300,-0.3590764427185058,-0.2222690296173095,-0.1725104999542236,-0.1916299152374267,0.1865659427642822,0.0306391143798828,,-0.1394450068473816,,-0.192291259765625,-0.180724024772644,0.1478254795074463,-0.3172800841354592,-0.2681453545530682,-0.1532547407145133,-0.1748113479335342,0.1640253434209459,0.0933340066195338,0.1871142245588614
word2vec-gender-hard-debiased dim=300,-0.0617631006240844,-0.0243513584136962,-0.0310127639770507,-0.0351696968078613,0.0307503366470336,-0.010818338394165,,2.3692846298217773e-05,,-0.025490790605545,-0.0679517090320587,0.0294815301895141,-0.0467496049872764,-0.0339084832284796,-0.0192847570297085,-0.0228792387267199,0.0274648479575679,0.0110292445017596,0.0298830933730512
glove-wiki-gigaword-300,-0.6423754692077637,-0.2736130142211914,-0.4918210029602051,-0.4878044891357422,0.1505544662475585,-0.2141914749145508,-0.6104451815287272,0.2069593667984008,-0.1567546526590983,-0.4138199090957641,-0.5223013162612915,0.2228211164474487,-0.4103221784995714,-0.2236145811882063,-0.2096376227627213,-0.155613953115202,0.20068455573685,0.0680006280730042,0.3145186099362942
glove-twitter-200,-0.5890423202514649,-0.5870755958557129,-0.5036484146118164,-0.2601870918273926,0.0853939056396484,0.3268885040283203,-0.5313205718994141,-0.4293036460876465,0.1759243011474609,-0.1324436664581298,0.2580679655075073,0.6754000186920166,-0.4381111953439402,-0.4148908569817752,0.3156299634586384,0.4883355953748141,0.7537411588025786,0.9032264523565894,0.4371461791291593
lexvec-commoncrawl W+C dim=300,-1.5433313751220703,-1.2612830352783204,-1.450041885375977,-1.4008689880371097,0.0932894897460937,-0.139585952758789,-1.3009999593098958,0.3893742561340332,-0.8085190455118815,-1.0709657669067385,-1.396170139312744,0.329655647277832,-1.280590718735331,-1.0016685510772505,-1.009714764220933,-0.8524113110727215,0.2708759545143979,0.1492572400045291,0.8749224489109247
