model_name,Male terms and Female terms wrt Career,Male terms and Female terms wrt Family,Male terms and Female terms wrt Math,Male terms and Female terms wrt Arts,Male terms and Female terms wrt Science,Male terms and Female terms wrt Intelligence,Male terms and Female terms wrt Appearence,Male terms and Female terms wrt Sensitive,Male terms and Female terms wrt Positive words,Male terms and Female terms wrt Negative words,Male terms and Female terms wrt Man Roles,Male terms and Female terms wrt Woman Roles,RND: Gender average of abs values score
conceptnet-numberbatch 19.08-en dim=300,-0.01099124550819397,0.006976865231990814,-0.006760060787200928,-0.0074433982372283936,-0.015541598200798035,-0.009735754558018275,0.0006296873092651367,-0.0021859467029571532,-0.004458080245157516,-0.00457574580497682,-0.006875137488047282,0.011762990401341366,0.007328042539597975
fasttext-wiki-news-subwords-300,0.0113256871700286,0.0276043936610221,0.0153698697686195,0.0268034487962722,0.0144983306527137,0.0054566306727273,0.0233955883979797,0.0081655383110046,0.0140613966885908,0.0099204574479806,-0.0187019060055414,0.0434329738983741,0.0182280184559046
word2vec-google-news-300,-0.1209794878959655,0.0051872432231903,-0.0550371706485748,0.0108018517494201,-0.0647484064102172,-0.1335994345801217,-0.0128439331054687,-0.0919255495071411,-0.0951917832040247,-0.1006188694886335,-0.1280616124471028,0.1906911043020395,0.0841405372134917
word2vec-gender-hard-debiased dim=300,-0.004229724407196,-0.001922957599163,0.0020876228809356,-0.0007446259260177,0.0014052689075469,0.0003236319337572,-0.0003291320800781,-0.0005575239658355,-0.0006135027127427,-0.001751714549263,-0.0067394872506459,0.0111954533136807,0.0026583871272385
glove-wiki-gigaword-300,-0.3961202502250671,0.0596267580986022,-0.1977933645248413,-0.0661130547523498,-0.2686152458190918,-0.1232548441205706,0.0743311119079589,-0.1361394882202148,-0.0766345093128105,-0.0920532770892144,-0.3861547708511352,0.3216724395751953,0.1832090928747543
glove-twitter-200,-0.2506840825080871,-0.0323028564453125,-0.077562928199768,-0.1217274069786071,-0.1917774081230163,-0.1220626301235622,0.0461206817626953,-0.0893446207046508,-0.1034050855511471,-0.1126498471719984,-0.27790367603302,0.098457959982065,0.1269999319653275
lexvec-commoncrawl W+C dim=300,-0.3316068649291992,0.2357500791549682,-0.266951322555542,-0.1072756052017211,-0.3947814702987671,-0.3660220418657575,0.3595503616333008,-0.1855311393737793,-0.2344738327680661,-0.3627477074500522,-0.652832825978597,0.4853894893939678,0.3319093950503098
