model_name,Christianity terms and Islam terms wrt Pleasant and Unpleasant,Christianity terms and Judaism terms wrt Pleasant and Unpleasant,Islam terms and Judaism terms wrt Pleasant and Unpleasant,Christianity terms and Islam terms wrt Conservative and Terrorism,Christianity terms and Jew terms wrt Conservative and Greed,Islam terms and Jew terms wrt Terrorism and Greed,Christianity terms and Islam terms wrt Positive words and Negative words,Christianity terms and Jew terms wrt Positive words and Negative words,Islam terms and Jew terms wrt Positive words and Negative words,WEAT: Religion average of abs values score
conceptnet-numberbatch 19.08-en dim=300,0.08136188983917236,0.07288306206464767,-0.008478827774524689,0.38179051876068115,0.14149034023284912,0.13366979360580444,0.05072919279336929,0.016751155257225037,-0.03397803753614426,0.10234809666872025
fasttext-wiki-news-subwords-300,0.1489417999982834,0.0276175141334533,-0.12132428586483,0.5411091446876526,0.0558084547519683,0.3753600716590881,0.0492615923285484,0.0145640224218368,-0.0346975699067115,0.1520760357379913
word2vec-google-news-300,0.216175764799118,-0.0268343016505241,-0.2430100589990615,,,0.5462560057640076,0.0796751007437706,-0.0196166560053825,-0.0992917567491531,0.1758370921015739
word2vec-gender-hard-debiased dim=300,0.2168025970458984,-0.0271127149462699,-0.2439153045415878,,,0.5480090975761414,0.0799893140792846,-0.0195448249578475,-0.0995341390371322,0.1764154274548803
glove-wiki-gigaword-300,0.3065891563892364,0.0019498020410537,-0.3046393394470215,0.594261884689331,-0.2523345053195953,0.5610038042068481,0.1639202237129211,0.0491223782300949,-0.1147978529334068,0.2609576284885406
glove-twitter-200,-0.0086418017745018,0.1940556764602661,0.2026974856853485,0.0239383578300476,-0.3128882646560669,0.303652286529541,0.012818157672882,0.1436678916215896,0.1308497339487075,0.1481344103813171
lexvec-commoncrawl W+C dim=300,0.103589855,0.009881418,-0.09370844,0.61981547,-0.11096695,0.6386111,0.10325122,0.055095788,-0.048155427,0.19811952
