model_name,White last names and Black last names wrt Pleasant,White last names and Black last names wrt Unpleasant,White last names and Asian last names wrt Pleasant,White last names and Asian last names wrt Unpleasant,White last names and Hispanic last names wrt Pleasant,White last names and Hispanic last names wrt Unpleasant,White last names and Black last names wrt Occupations white,White last names and Black last names wrt Occupations black,White last names and Asian last names wrt Occupations white,White last names and Asian last names wrt Occupations asian,White last names and Hispanic last names wrt Occupations white,White last names and Hispanic last names wrt Occupations hispanic,White last names and Black last names wrt Positive words,White last names and Black last names wrt Negative words,White last names and Asian last names wrt Positive words,White last names and Asian last names wrt Negative words,White last names and Hispanic last names wrt Positive words,White last names and Hispanic last names wrt Negative words,RND: Ethnicity average score
conceptnet-numberbatch-17-06-300,0.00020812511444091798,0.0014406490325927735,0.005743598937988282,-0.004301419258117676,-0.04252442359924316,-0.0400838565826416,0.001304348309834798,0.0017633914947509765,-0.09091060558954875,-0.0699167251586914,-0.09742821455001831,-0.07964484691619873,0.0007965463586458461,0.0013939895001368469,0.00851666763678545,0.003634540269364693,-0.04655658197167285,-0.039613537338383395,0.029765670423280915
fasttext-wiki-news-subwords-300,0.0017729640007019046,0.0018211054801940921,-0.08039438962936403,-0.0903056788444519,0.07024689435958863,0.07242571353912354,0.0006150484085083007,0.00032025575637817383,-0.11475584904352824,-0.14861461520195007,0.05546793540318807,0.051881321271260585,0.0024923431407276988,0.002012964861882305,-0.08995161404825533,-0.09151665477252943,0.0872063980487639,0.08622508408200794,0.05822371277180024
word2vec-google-news-300,-0.033676958084106444,-0.03381150245666504,0.11242539405822756,0.05530699729919433,0.3666017818450928,0.2969745254516601,-0.03935041427612305,-0.03246288299560547,0.10772393544514974,0.04529127052852085,0.3292957941691081,0.2690116405487061,-0.034224338536629706,-0.03286609928573076,0.13976139565212595,0.12044100994736595,0.3494863392655799,0.3254016464284891,0.15133966257078227
glove-wiki-gigaword-300,-0.009129924774169922,-0.006550350189208984,-0.4868414306640625,-0.4157317924499512,-0.5330355072021484,-0.35017520904541016,0.0034705162048339843,0.00524895985921224,-0.7430590470631917,-0.43229310853140696,-0.6425516287485759,-0.4353545188903809,-0.006415474937507481,-0.0018809202213967765,-0.2392686601045329,-0.17174346537529667,-0.21336055796926007,-0.09046324344718416,0.2659207953154295
glove-wiki-gigaword-200,-0.005704269409179686,-0.012280502319335938,-0.4970065116882324,-0.4315392112731933,-0.5142079353332519,-0.3275334358215332,0.0001941204071044922,0.002594502766927084,-0.7336595535278321,-0.44434029715401785,-0.5987778027852376,-0.3922806104024251,-0.008083928909745092,-0.006409369074708436,-0.21800854315659512,-0.15859786177394855,-0.17485655418351662,-0.04438223997934778,0.2539142916647852
glove-wiki-gigaword-100,-0.011789722442626951,-0.009490394592285156,-0.4687559509277344,-0.33483156204223635,-0.5031809806823729,-0.20422277450561524,0.003456354141235352,0.006021595001220704,-0.6639091491699218,-0.3969715833663941,-0.5494940757751465,-0.2778169314066569,-0.009558772385844587,-0.0052808534426848274,-0.16286646066616278,-0.07951986342497057,-0.07204331384407926,0.08455955803874447,0.2135427719919963
glove-twitter-100,-0.036888885498046885,-0.040715084075927735,0.17177936553955078,-0.13143003463745118,-0.5891479682922364,-0.517191219329834,-0.006055611830491286,-0.026595660618373325,-0.14492099101726824,,-0.4851428728837233,-0.31078457832336426,-0.021290565584294808,-0.014072313064822076,0.20908690355739387,0.2895887008788441,-0.28746506940686084,-0.16757918063683402,0.20292558853972453
glove-twitter-200,-0.03363994598388672,-0.03699821472167969,0.10535446166992188,-0.05652971267700195,-0.5681499290466309,-0.5260301208496094,-0.001617871798001803,-0.02093338966369629,-0.15582737555870646,,-0.5002944652850811,-0.238645110811506,-0.016172666109023064,-0.011065109786509472,0.20460825760705909,0.27350320721469,-0.23554492499987464,-0.13483300126917924,0.1835145744148269
