model_name,Christianity terms and Islam terms wrt Pleasant and Unpleasant,Christianity terms and Judaism terms wrt Pleasant and Unpleasant,Islam terms and Judaism terms wrt Pleasant and Unpleasant,Christianity terms and Islam terms wrt Conservative and Terrorism,Christianity terms and Jew terms wrt Conservative and Greed,Islam terms and Jew terms wrt Terrorism and Greed,Christianity terms and Islam terms wrt Positive words and Negative words,Christianity terms and Jew terms wrt Positive words and Negative words,Islam terms and Jew terms wrt Positive words and Negative words,WEAT EZ: Religion average of abs values score
conceptnet-numberbatch 19.08-en dim=300,1.0046350955963135,1.2517545223236084,-0.12135258316993713,1.7469230890274048,1.247506856918335,1.240423560142517,1.0012224912643433,0.4872302711009979,-0.7000881433486938,0.9779040813446045
fasttext-wiki-news-subwords-300,1.0068825483322144,0.2226000130176544,-0.938607692718506,1.861852765083313,0.2778700590133667,1.7834337949752808,0.8447814583778381,0.1849302053451538,-0.4252234995365143,0.8384646773338318
word2vec-google-news-300,1.5640488862991333,-0.2432230114936828,-1.701834201812744,,,1.8249750137329104,0.9787097573280334,-0.1742824912071228,-0.8729686141014099,1.051434567996434
word2vec-gender-hard-debiased dim=300,1.5636472702026367,-0.2439060807228088,-1.6984426975250244,,,1.8245172500610352,0.9792422652244568,-0.1734234094619751,-0.8728412389755249,1.0508600303104945
glove-wiki-gigaword-300,1.5045115947723389,0.0128544410690665,-1.632952094078064,1.5806028842926023,-0.8647674322128296,1.7257198095321655,1.5619715452194214,0.5833786725997925,-1.2867131233215332,1.1948301792144775
glove-twitter-200,-0.0448758378624916,0.7856379747390747,1.0208697319030762,0.1526690423488617,-0.9289706349372864,1.7504757642745972,0.1306184232234954,1.2025116682052612,1.4038621187210083,0.8244990110397339
lexvec-commoncrawl W+C dim=300,0.8258104,0.07616012,-1.024945,1.6815913,-0.6461581,1.8316648,1.1877154,0.58549917,-0.55301076,0.9347283
