model_name,Christianity terms and Islam terms wrt Pleasant and Unpleasant,Christianity terms and Judaism terms wrt Pleasant and Unpleasant,Islam terms and Judaism terms wrt Pleasant and Unpleasant,Christianity terms and Islam terms wrt Christian related words and Muslim related words,Christianity terms and Jew terms wrt Christian related words and Jew related words,Islam terms and Jew terms wrt Musilm related words and Jew related words,Christianity terms and Islam terms wrt Positive words and Negative words,Christianity terms and Jew terms wrt Positive words and Negative words,Islam terms and Jew terms wrt Positive words and Negative words,WEAT: Religion average score
glove-twitter-25,-0.38142526149749756,0.14046387374401093,0.5218891501426697,-0.2384626865386963,-0.774809718132019,0.17554879188537598,-0.11195459961891174,0.17345373332500458,0.2854083180427551,0.31149068143632674
glove-twitter-50,-0.06985659897327423,0.2960948646068573,0.3659514784812927,-0.41285020112991333,-0.5196484327316284,0.14005300402641296,0.006911367177963257,0.16140872240066528,0.15449735522270203,0.23636355830563438
glove-twitter-100,-0.04276116192340851,0.17245838046073914,0.21521954238414764,-0.05480754375457764,-0.6277868747711182,0.3909561038017273,0.014969907701015472,0.1529550552368164,0.13798514008522034,0.2010999677909745
glove-twitter-200,-0.008641757071018219,0.1940557062625885,0.20269745588302612,0.023938268423080444,-0.3128882348537445,0.30365219712257385,0.012818142771720886,0.14366787672042847,0.13084973394870758,0.14813437478409874
