model_name,Male terms and Female terms wrt Career and Family,Male terms and Female terms wrt Math and Arts,Male terms and Female terms wrt Science and Arts,Male terms and Female terms wrt Intelligence and Appearence,Male terms and Female terms wrt Intelligence and Sensitive,Male terms and Female terms wrt Positive words and Negative words,Male terms and Female terms wrt Man Roles and Woman Roles,RNSB: Gender average of abs values score
conceptnet-numberbatch 19.08-en dim=300,0.007558648281766058,0.00027160074208485357,0.00017418752523621101,0.0017060964603697808,0.0009285489578891786,0.0985711207058175,0.0009108892142558279,0.01573158455534563
fasttext-wiki-news-subwords-300,0.0025200314861185,0.0008651377254807,0.000413726479943,0.0038927979101569,0.0013170225838648,0.0959914264346347,0.0016595049575799,0.0152370925111112
word2vec-google-news-300,0.0198696203127454,0.0050351226068079,0.0032152501064101,0.0113801527287158,0.0085614540365617,0.1312727086324995,0.0407782892252179,0.031444656806994
word2vec-gender-hard-debiased dim=300,0.0045052329997289,0.0006080178075135,0.0001992019084784,0.0021034638080822,0.0007402337062078,0.0521686656835484,0.0010054411622588,0.0087614652965454
glove-wiki-gigaword-300,0.0264484424492044,0.0218009918390909,0.007966704871714,0.0106376902753953,0.0301843969841946,0.2469573258040503,0.1621632393417511,0.0723083987950572
glove-twitter-200,0.0163367149991117,0.0251772670733462,0.0082192824884157,0.0179766248432892,0.0051160355442761,0.1839814920951115,0.0858474201863985,0.0489506910328498
lexvec-commoncrawl W+C dim=300,0.0131503209418699,0.029698942650461,0.0132376567506343,0.0622867582273854,0.0799502909385102,0.2044682986045053,0.0925246068529356,0.0707595535666145
