model_name,White last names and Black last names wrt Pleasant and Unpleasant,White last names and Asian last names wrt Pleasant and Unpleasant,White last names and Hispanic last names wrt Pleasant and Unpleasant,White last names and Black last names wrt Occupations white and Occupations black,White last names and Asian last names wrt Occupations white and Occupations asian,White last names and Hispanic last names wrt Occupations white and Occupations hispanic,White last names and Black last names wrt Positive words and Negative words,White last names and Asian last names wrt Positive words and Negative words,White last names and Hispanic last names wrt Positive words and Negative words,RNSB: Ethnicity average of abs values score
conceptnet-numberbatch 19.08-en dim=300,0.0006330912568698006,0.001178731212208287,0.000610198727172238,0.0013996746238266456,0.0013177150514007037,0.001182169234303321,0.16535076135702134,0.11831783986686166,0.11749653862679232,0.04527630221738403
fasttext-wiki-news-subwords-300,0.0013887348659459,0.002865542047888,0.0016616340797391,0.0007050894149908,0.0008906431395116,0.0007747620979991,0.0644512401412898,0.1648390088025605,0.0819420032734479,0.0355020730959303
word2vec-google-news-300,0.0169979973040592,0.0263563163333528,0.0216717461354584,0.0128562163187613,0.0179835937888883,0.0179093636518428,0.2686766706280172,0.2541294808573383,0.2522921843259492,0.0987637299270742
word2vec-gender-hard-debiased dim=300,0.001660580085952,0.0019886093870578,0.0021887053106838,0.0006891313233488,0.0009136129483742,0.001327125382851,0.1097265767410434,0.1176661145105997,0.1174233852074555,0.0392870934330407
glove-wiki-gigaword-300,0.0492067284819403,0.0685558527912122,0.0713337892990931,0.069999073220591,0.1021404488617751,0.0804702644139073,0.1907932595727502,0.2550909093780282,0.2275041125360399,0.1238993820617041
glove-twitter-200,0.0561477472695255,0.1291450555006228,0.0585915730840377,0.1029199253899824,,0.099901610086078,0.1432219937523013,0.1806333530264202,0.1578901231012375,0.1160564226512757
lexvec-commoncrawl W+C dim=300,0.0791501419877266,0.1176872324093349,0.071032776660175,0.0989756920085265,0.0885407247221014,0.106033675753944,0.2749395386237708,0.325541491306755,0.3657213676413188,0.1697358490126281
